SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230104000000,H0001,78,77,88,90,1,1,1,1,B,B,92
20230104000004,H0001,93,83,77,91,1,1,1,1,A,A,91
20230104000008,H0001,77,89,87,96,1,1,1,1,B,A,87
20230104000012,H0001,86,90,70,85,1,1,1,1,B,A,82
20230104000016,H0001,81,81,84,96,1,1,1,1,A,B,84
20230104000020,H0001,99,89,91,85,1,1,1,1,A,A,93
20230104000024,H0001,74,74,72,78,1,1,1,1,A,B,88
20230104000028,H0001,77,81,76,97,1,1,1,1,A,A,73
20230104000032,H0001,84,93,90,79,1,1,1,1,A,A,99
20230104000036,H0001,99,89,78,76,1,1,1,1,A,B,92
20230104000040,H0001,83,98,94,99,1,1,1,1,A,A,92
20230104000044,H0001,73,86,94,81,1,1,1,1,A,A,87
20230104000048,H0001,100,90,94,100,1,1,1,1,A,A,85
20230104000052,H0001,87,87,98,86,1,1,1,1,A,A,91
20230104000056,H0001,88,84,100,82,1,1,1,1,B,A,94
20230104000100,H0001,100,100,99,92,1,1,1,1,A,A,100
20230104000104,H0001,75,83,93,98,1,1,1,1,B,A,93
20230104000108,H0001,98,83,90,87,1,1,1,1,A,A,56
20230104000112,H0001,82,81,100,98,1,1,1,1,A,A,87
20230104000116,H0001,83,89,86,86,1,1,1,1,A,A,98
20230104000120,H0001,91,95,80,72,1,1,1,1,A,B,97
20230104000124,H0001,89,82,79,97,1,1,1,1,A,B,91
20230104000128,H0001,79,100,87,92,1,1,1,1,A,A,88
20230104000132,H0001,96,91,93,94,1,1,1,1,A,A,91
20230104000136,H0001,79,89,82,71,1,1,1,1,A,A,97
20230104000140,H0001,73,80,100,85,1,1,1,1,A,A,95
20230104000144,H0001,84,74,91,92,1,1,1,1,A,A,80
20230104000148,H0001,85,92,91,83,1,1,1,1,B,A,74
20230104000152,H0001,81,98,78,81,1,1,1,1,A,B,82
20230104000156,H0001,92,86,89,80,1,1,1,1,A,A,84
20230104000200,H0001,99,80,77,85,1,1,1,1,A,A,76
20230104000204,H0001,89,89,73,99,1,1,1,1,A,A,85
20230104000208,H0001,82,88,95,93,1,1,1,1,A,A,84
20230104000212,H0001,74,90,83,82,1,1,1,1,A,A,80
20230104000216,H0001,94,99,82,98,1,1,1,1,A,A,89
20230104000220,H0001,98,90,86,98,1,1,1,1,A,A,90
20230104000224,H0001,100,89,91,74,1,1,1,1,A,A,88
20230104000228,H0001,77,96,84,90,1,1,1,1,A,A,63
20230104000232,H0001,84,76,90,88,1,1,1,1,A,A,79
20230104000236,H0001,91,98,83,84,1,1,1,1,A,B,89
20230104000240,H0001,86,83,85,78,1,1,1,1,A,B,84
20230104000244,H0001,99,89,80,87,1,1,1,1,A,A,96
20230104000248,H0001,81,89,92,73,1,1,1,1,A,A,99
SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230104000252,H0001,93,88,96,73,1,1,1,1,B,A,93
20230104000000,L0002,82,91,90,84,1,1,1,1,A,A,82
20230104000256,H0001,97,93,83,87,1,1,1,1,A,A,82
20230104000004,L0002,77,90,100,93,1,1,1,1,A,B,85
20230104000300,H0001,80,89,93,77,1,1,1,1,A,A,86
20230104000008,L0002,87,96,100,99,1,1,1,1,B,A,82
20230104000012,L0002,75,84,97,76,1,1,1,1,A,A,91
20230104000304,H0001,86,76,97,79,1,1,1,1,A,A,95
20230104000016,L0002,89,97,71,100,1,1,1,1,A,A,88
20230104000308,H0001,84,95,87,92,1,1,1,1,A,A,85
20230104000020,L0002,91,91,98,92,1,1,1,1,B,B,75
20230104000312,H0001,92,82,100,100,1,1,1,1,A,A,88
20230104000316,H0001,95,78,86,79,1,1,1,1,A,B,84
20230104000024,L0002,96,81,75,83,1,1,1,1,A,A,95
20230104000028,L0002,97,88,98,89,1,1,1,1,A,A,59
20230104000320,H0001,92,86,82,74,1,1,1,1,A,A,94
20230104000324,H0001,90,85,100,70,1,1,1,1,B,A,88
20230104000032,L0002,90,81,81,77,1,1,1,1,A,A,89
20230104000328,H0001,81,100,99,93,1,1,1,1,B,A,84
20230104000036,L0002,82,93,86,85,1,1,1,1,A,A,93
20230104000040,L0002,90,72,97,79,1,1,1,1,B,A,94
20230104000044,L0002,94,82,83,85,1,1,1,1,A,A,98
20230104000048,L0002,87,79,80,70,1,1,1,1,B,A,86
20230104000052,L0002,94,98,73,71,1,1,1,1,A,A,91
20230104000332,H0001,99,87,100,89,1,1,1,1,A,A,91
20230104000056,L0002,85,88,72,88,1,1,1,1,A,A,82
20230104000100,L0002,74,73,100,83,1,1,1,1,A,A,92
20230104000336,H0001,99,90,91,93,1,1,1,1,A,A,85
20230104000104,L0002,85,82,75,71,1,1,1,1,B,A,79
20230104000340,H0001,97,90,85,100,1,1,1,1,A,B,82
20230104000108,L0002,83,94,92,85,1,1,1,1,A,A,76
20230104000344,H0001,71,86,78,88,1,1,1,1,A,A,94
20230104000112,L0002,71,82,95,81,1,1,1,1,A,A,86
20230104000348,H0001,88,95,70,91,1,1,1,1,A,A,97
20230104000116,L0002,77,86,75,93,1,1,1,1,A,B,89
20230104000352,H0001,89,70,99,91,1,1,1,1,A,A,99
20230104000120,L0002,85,79,84,96,1,1,1,1,A,A,98
20230104000356,H0001,83,92,96,98,1,1,1,1,A,A,91
20230104000124,L0002,79,91,96,88,1,1,1,1,A,A,98
20230104000400,H0001,74,81,80,85,1,1,1,1,A,A,92
20230104000404,H0001,99,89,91,73,1,1,1,1,A,A,90
20230104000128,L0002,74,80,100,96,1,1,1,1,B,B,94
20230104000408,H0001,92,90,72,87,1,1,1,1,A,A,87
20230104000132,L0002,91,90,87,99,1,1,1,1,B,A,94
20230104000412,H0001,73,80,100,83,1,1,1,1,B,A,89
20230104000136,L0002,86,88,78,99,1,1,1,1,A,A,94
20230104000416,H0001,94,96,83,83,1,1,1,1,A,B,92
20230104000140,L0002,75,94,81,89,1,1,1,1,B,A,81
20230104000420,H0001,93,80,91,78,1,1,1,1,A,A,88
20230104000144,L0002,87,95,88,80,1,1,1,1,B,A,87
20230104000148,L0002,74,76,75,73,1,1,1,1,A,A,100
20230104000424,H0001,81,97,79,71,1,1,1,1,A,A,87
20230104000152,L0002,70,94,86,77,1,1,1,1,A,A,93
20230104000428,H0001,81,90,95,86,1,1,1,1,A,A,89
20230104000156,L0002,95,79,97,74,1,1,1,1,A,A,87
20230104000432,H0001,98,93,76,87,1,1,1,1,A,A,92
20230104000200,L0002,87,84,93,80,1,1,1,1,A,A,90
20230104000436,H0001,91,85,93,90,1,1,1,1,A,A,99
20230104000204,L0002,87,80,78,98,1,1,1,1,A,A,97
20230104000440,H0001,86,74,97,77,1,1,1,1,A,A,100
20230104000208,L0002,75,89,94,79,1,1,1,1,A,A,95
20230104000444,H0001,81,94,75,81,1,1,1,1,B,A,54
